Brands,Products,Categories,Prices,Ratings,Reviews,Loves,URL
Acqua Di Parma,Blu Mediterraneo MINIATURE Set,Fragrance,63,4,4,2411,https://www.sephora.com/product/blu-mediterraneo-minature-set-P443401?icid2=products%20grid:p443401
Acqua Di Parma,Mirto di Panarea,Fragrance,113,4.5,21,2479,https://www.sephora.com/product/blu-mediterraneo-mirto-di-panarea-P307804?icid2=products%20grid:p307804
Acqua Di Parma,Fico di Amalfi,Fragrance,171,4.5,32,2353,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-P307801?icid2=products%20grid:p307801
Acqua Di Parma,Colonia,Fragrance,63,4.5,74,2454,https://www.sephora.com/product/colonia-P163604?icid2=products%20grid:p163604
Acqua Di Parma,Arancia di Capri,Fragrance,171,4,25,2432,https://www.sephora.com/product/blu-mediterraneo-arancia-di-capri-P375388?icid2=products%20grid:p375388
Acqua Di Parma,Rosa Nobile,Fragrance,200,4.5,35,4397,https://www.sephora.com/product/rosa-nobile-P388670?icid2=products%20grid:p388670
Acqua Di Parma,Colonia Essenza,Fragrance,115,5,13,651,https://www.sephora.com/product/colonia-essenza-P269110?icid2=products%20grid:p269110
Acqua Di Parma,Blu Mediterraneo Discovery Collection Gift Set,Fragrance,80,NA,0,254,https://www.sephora.com/product/blu-mediterraneo-discovery-collection-gift-set-P450818?icid2=products%20grid:p450818
Acqua Di Parma,Gelsomino Nobile,Fragrance,194,4.5,19,999,https://www.sephora.com/product/gelsomino-nobile-P298761?icid2=products%20grid:p298761
Acqua Di Parma,Osmanthus Eau de Parfum,Fragrance,270,5,2,268,https://www.sephora.com/product/osmanthus-eau-de-parfum-P450175?icid2=products%20grid:p450175
Acqua Di Parma,Magnolia Nobile,Fragrance,136,4.5,33,1717,https://www.sephora.com/product/magnolia-nobile-P252213?icid2=products%20grid:p252213
Acqua Di Parma,Rosa Nobile Hair Mist,Fragrance,54,3,2,1320,https://www.sephora.com/product/rosa-nobile-hair-mist-P444120?icid2=products%20grid:p444120
AERIN,Mediterranean Honeysuckle,Fragrance,130,4,89,7568,https://www.sephora.com/product/mediterranean-honeysuckle-P405269?icid2=products%20grid:p405269
AERIN,Amber Musk,Fragrance,130,4.5,76,5033,https://www.sephora.com/product/amber-musk-P388770?icid2=products%20grid:p388770
AERIN,Ikat Jasmine,Fragrance,180,4.5,51,4394,https://www.sephora.com/product/ikat-jasmine-P388762?icid2=products%20grid:p388762
AERIN,Rose Lip Conditioner,Makeup,30,4.5,353,15873,https://www.sephora.com/product/rose-lip-conditioner-P398965?icid2=products%20grid:p398965
AERIN,Amber Musk Rollerball,Fragrance,30,4.5,32,4423,https://www.sephora.com/product/amber-musk-rollerball-P398823?icid2=products%20grid:p398823
AERIN,Lilac Path,Fragrance,130,4.5,57,3444,https://www.sephora.com/product/lilac-path-P388766?icid2=products%20grid:p388766
AERIN,Aegea Blossom Eau de Parfum,Fragrance,130,4.5,12,915,https://www.sephora.com/product/aegea-blossom-eau-de-parfum-P442515?icid2=products%20grid:p442515
AERIN,Waterlily Sun,Fragrance,130,4.5,45,3651,https://www.sephora.com/product/waterlily-sun-P395768?icid2=products%20grid:p395768
AERIN,Evening Rose,Fragrance,130,4.5,23,2742,https://www.sephora.com/product/evening-rose-P388768?icid2=products%20grid:p388768
AERIN,Radiant Floral Rollerball Set,Fragrance,50,NA,0,137,https://www.sephora.com/product/mediterranean-honeysuckle-hibiscus-palm-rollerball-set-P451238?icid2=products%20grid:p451238
AERIN,Ikat Jasmine Rollerball,Fragrance,30,4.5,3,1106,https://www.sephora.com/product/ikat-jasmine-rollerball-P433901?icid2=products%20grid:p433901
